x,y
-2135.022,-6958.88
-2372.153,-2404.386
-524.156,-4211.317
-919.702,-3572.742
-5093.368,-7123.798
-4240.255,-6614.352
-5253.842,-8487.59
553.751,-3266.565
-4063.344,-11584.235
-3552.322,-11349.507
-2200.327,-5642.902
-2842.865,-3377.914
-4478.246,-10566.941
-5647.094,-6042.861
-1825.064,-11598.584
-3191.497,-11308.514
-4279.185,-11492.546
-1626.668,-5059.092
-2354.541,-5490.853
-2172.879,-5363.922
-2540.57,-4079.61
-1975.761,-5803.889
-4565.972,-11158.155
-3939.551,-10907.137
-1187.01,-3957.672
-2538.692,-6023.063
-3959.164,-4236.231
-5691.35,-5797.05
-1258.181,-4243.847
-1304.1,-4552.03
-3962.889,-4531.311
-5091.537,-6851.959
-4622.019,-11015.603
-4226.582,-11186.178
-5278.424,-13240.623
-4533.464,-11292.326
-5273.288,-10895.157
-4484.869,-10468.651
-4894.518,-9900.919
-1554.853,-3848.521
-1621.965,-3836.027
-4095.611,-7614.14
-4065.026,-4402.833
-2104.658,-2209.532
-2026.784,-2542.642
-4072.463,-3839.25
-2233.45,-8563.74
-4139.895,-4441.022
-3849.411,-4345.085
-2787.048,-3370.113
-3932.07,-4073.93
-1058.15,-12833.964
-2980.644,-10616.986
-2719.783,-10855.234
-3245.967,-11409.411
-5577.332,-5975.569
-6651.114,-8623.469
-921.769,-12930.98
-5326.837,-6301.764
-2183.696,-11410.396
-4992.856,-9196.727
-1697.04,-13614.39
-2779.94,-10076.606
-2987.154,-10872.947
-5232.422,-10501.43
-3309.727,-6592.139
-3461.775,-9966.445
-5636.07,-9893.29
-4943.78,-10412.52
-3051.932,-11404.44
-4030.684,-11205.189
-4102.217,-11461.608
-4787.808,-10306.257
-1509.539,-1823.321
-2539.066,-5728.293
-1614.977,-4633.265
-2058.264,-7285.838
-2044.568,-7035.742
-4102.217,-11461.608
-3914.196,-4374.63
-3841.572,-10455.305
-6685.24,-18197.18
-3392.029,-10676.182
-4076.187,-4384.226
-2767.921,-10962.521
-1286.768,-2272.154
-1391.813,-4791.023
-4134.558,-7479.504
-3074.96,-10110.94
-1376.858,-2587.066
-5265.971,-8550.016
-1370.351,-3547.412
-3176.911,-3396.657
-4426.27,-4246.17
1292.248,11440.843
-1876.37,-5406.48
-2076.234,-5616.298
-1844.58,-7421.397
-2784.428,-4751.213
-521.232,-4401.843
-4575.77,-6522.3
-1432.326,-3565.009
-4959.97,-11052.11
-4241.334,-3906.632
-3004.518,-11462.307
-3040.23,-10135.67
-3812.292,-9835.78
-6055.572,-8268.594
-2698.456,-8617.359
-5444.482,-5823.739
-2698.456,-8617.359
-1291.534,-12682.725
-4936.861,-10796.933
-3946.025,-11270.408
-4208.873,-8490.546
-352.703,-4156.764
-3894.488,-9938.868
-2560.31,-4628.66
-743.621,-4135.203
-1824.558,-6853.061
-24030.425,-33361.752
-1316.331,-4128.872
-977.956,-4436.9
-2085.346,-5654.707
-993.443,-4385.264
-1115.235,-4145.647
-1115.235,-4145.647
-1014.12,-4035.31
-1067.147,-4021.418
-1156.005,-4157.012
-24321.352,-25379.891
-2456.685,-4058.115
-4619.1,-7926.919
-1924.286,-5782.015
-2229.026,-3593.259
-4426.27,-4246.17
-4306.99,-7491.44
-6939.36,-8718.936
-5036.216,-6754.93
-5177.23,-10764.3
-1682.35,-13225.12
-1271.74,-8994.7
-3196.87,-10939.134
-4897.814,-10987.371
-2018.94,-5493.02
-4148.688,-6394.143
-4268.019,-8036.941
-2134.113,-5569.62
-3706.44,-11242.987
-5573.409,-7938.321
-5573.409,-7938.321
-5382.27,-9158.87
-3812.292,-9835.78
-6075.958,-8144.358
-5468.1,-8905.12
-2244.15,-5319.009
-1144.663,-4630.677
-4139.895,-4441.022
-3262.452,-7228.379
-5148.92,-10810.066
-2937.133,-10422.416
-4729.27,-11072.32
-2389.205,-5898.594
-3924.874,-7939.341
-4268.675,-7614.837
-2408.287,-5984.975
-5077.451,-7068.968
-4555.37,-11477.874
-2308.203,-11074.54
-2197.476,-6610.307
-2198.565,-5856.915
-645.382,-4496.782
-514.964,-4267.899
-853.146,-3729.647
-3074.774,-5204.792
-2384.21,-5551.424
-3153.472,-10775.299
-5540.44,-8714.37
-4285.461,-7590.654
-3262.558,-6995.353
-2214.052,-11170.783
-3130.543,-10929.783
-2169.015,-2343.72
-3461.762,-11025.279
-2871.757,-3769.656
-2322.226,-10423.419
-5760.175,-9665.383
-4705.14,-10308.141
1292.248,11440.843
-2966.668,-10690.504
-2135.022,-6958.88
-3642.815,-11175.837
